seqnames	start	end	width	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	24838	24850	13	+	2	14	0.79	13	-3.43	1.25	0.25	Distal Intergenic	1	21566	21850	285	1	YAL064W	YAL064W_mRNA	3272
I	31108	31119	12	+	3	17	0.47	12	2.32	0.48	0.04	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-448
I	31188	31193	6	+	2	24	0.88	6	-1.88	1.46	0.46	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-374
I	31225	31260	36	+	5	83	0.45	36	-6.2	0.16	0.21	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-307
I	33345	33362	18	+	3	35	0.8	18	4.16	1.08	0.42	Promoter	1	33448	34701	1254	1	YAL061W	YAL061W_mRNA	-86
I	35057	35068	12	+	2	17	0.76	12	-2.91	1.21	0.21	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-87
I	35103	35115	13	+	4	32	0.34	13	0.28	0.08	0.04	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-40
I	36513	36525	13	+	2	23	0.78	13	3.39	1.24	0.24	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	4
I	36556	36571	16	+	4	20	0.5	16	1.45	0.21	0.11	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	47
I	37415	37415	1	+	1	5	1	1	0	2	1	Promoter	1	37464	38972	1509	1	YAL058W	YAL058W_mRNA	-49
I	39237	39237	1	+	1	3	1	1	0	2	1	Promoter	1	39259	41901	2643	1	YAL056W	YAL056W_mRNA	-22
I	42134	42212	79	+	15	122	0.21	79	-4.36	-1.62	0.07	Promoter	1	42177	42719	543	1	YAL055W	YAL055W_mRNA	0
I	45748	45769	22	+	3	13	0.54	22	3.81	0.54	0.08	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-130
I	45813	45813	1	+	1	3	1	1	0	2	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-86
I	45877	45877	1	+	1	3	1	1	0	2	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-22
I	48550	48564	15	+	3	21	0.43	15	0.48	0.49	0.05	Promoter	1	48564	51707	3144	1	YAL051W	YAL051W_mRNA	0
I	57493	57520	28	+	6	27	0.26	28	3.69	-0.51	0.03	Promoter	1	57518	57850	333	1	YAL044W-A	YAL044W-A_mRNA	0
I	61269	61304	36	+	10	94	0.36	36	4.79	-0.92	0.12	Promoter	1	61316	62563	1248	1	YAL042W	YAL042W_mRNA	-12
I	62144	62147	4	+	2	6	0.5	4	0	1	0	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-693
I	62173	62185	13	+	2	8	0.5	13	0	1	0	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-655
I	62240	62241	2	+	2	6	0.5	2	0	1	0	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-599
I	62334	62334	1	+	1	3	1	1	0	2	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-506
I	62773	62776	4	+	2	7	0.57	4	0.21	1.01	0.01	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-64
I	62808	62808	1	+	1	3	1	1	0	2	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-32
I	71649	71670	22	+	2	10	0.7	22	4.2	1.12	0.12	Promoter	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	-116
I	71696	71783	88	+	20	505	0.45	88	15.91	-0.91	0.33	Promoter	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	-3
I	71896	71896	1	+	1	3	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	110
I	72043	72043	1	+	1	3	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	257
I	72455	72521	67	+	8	35	0.17	67	-6.97	-0.96	0.01	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	669
I	72550	72601	52	+	7	32	0.19	52	-5.81	-0.76	0.02	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	764
I	72685	72719	35	+	4	14	0.29	35	3.71	0.01	0.01	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	899
I	72758	72758	1	+	1	4	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	972
I	72796	72796	1	+	1	4	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	1010
I	72916	72916	1	+	1	3	1	1	0	2	1	Exon (YAL038W_mRNA/YAL038W, exon 1 of 1)	1	74020	74823	804	1	YAL037W	YAL037W_mRNA	-1104
I	76368	76429	62	+	17	579	0.4	62	-1.79	-0.89	0.29	Promoter	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	0
I	77092	77092	1	+	1	3	1	1	0	2	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	665
I	77134	77134	1	+	1	3	1	1	0	2	1	Exon (YAL035W_mRNA/YAL035W, exon 1 of 1)	1	76427	79435	3009	1	YAL035W	YAL035W_mRNA	707
I	79674	79700	27	+	4	24	0.46	27	2.38	0.18	0.09	Promoter	1	79718	80587	870	1	YAL034W-A	YAL034W-A_mRNA	-18
I	82688	82701	14	+	3	28	0.39	14	-0.04	0.43	0.01	Promoter	1	82706	83227	522	1	YAL033W	YAL033W_mRNA	-5
I	87250	87264	15	+	3	27	0.48	15	1.78	0.51	0.06	Promoter	1	87286	87752	467	1	YAL030W	YAL030W_mRNA	-22
I	92849	92859	11	+	3	24	0.46	11	-0.75	0.52	0.07	Promoter	1	92900	94486	1587	1	YAL028W	YAL028W_mRNA	-41
I	94595	94646	52	+	7	29	0.17	52	0.57	-0.76	0.02	Promoter	1	94687	95472	786	1	YAL027W	YAL027W_mRNA	-41
I	114803	114818	16	+	4	15	0.33	16	-0.23	0.03	0.02	Promoter	1	114919	118314	3396	1	YAL019W	YAL019W_mRNA	-101
I	119850	119891	42	+	9	58	0.24	42	-5.29	-0.97	0.06	Promoter	1	120225	124295	4071	1	YAL017W	YAL017W_mRNA	-334
I	119953	119960	8	+	2	11	0.64	8	-0.95	1.05	0.05	Promoter	1	120225	124295	4071	1	YAL017W	YAL017W_mRNA	-265
I	124786	124818	33	+	6	38	0.34	33	-4.16	-0.37	0.08	Promoter	1	124879	126786	1908	1	YAL016W	YAL016W_mRNA	-61
I	129208	129263	56	+	27	623	0.19	56	-0.03	-2.13	0.13	Promoter	1	129270	130487	1218	1	YAL013W	YAL013W_mRNA	-7
I	130686	130750	65	+	11	177	0.35	65	12.45	-0.75	0.21	Promoter	1	130799	131983	1185	1	YAL012W	YAL012W_mRNA	-49
I	130779	130779	1	+	1	4	1	1	0	2	1	Promoter	1	130799	131983	1185	1	YAL012W	YAL012W_mRNA	-20
I	132185	132185	1	+	1	4	1	1	0	2	1	Promoter	1	132199	134076	1878	1	YAL011W	YAL011W_mRNA	-14
I	135829	135829	1	+	1	16	1	1	0	2	1	Promoter	1	135854	136633	780	1	YAL009W	YAL009W_mRNA	-25
I	136844	136882	39	+	5	22	0.27	39	4.95	-0.25	0.03	Promoter	1	136914	137510	597	1	YAL008W	YAL008W_mRNA	-32
I	142035	142035	1	+	1	4	1	1	0	2	1	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	-139
I	142117	142195	79	+	22	433	0.24	79	-8.51	-1.82	0.14	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	0
I	142230	142242	13	+	3	16	0.44	13	-1.75	0.45	0.02	Promoter	1	142174	143160	987	1	YAL003W	YAL003W_mRNA	56
I	142648	142648	1	+	1	5	1	1	0	2	1	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	281
I	142687	142711	25	+	5	22	0.27	25	1.59	-0.28	0.02	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	320
I	142792	142798	7	+	2	6	0.5	7	0	1	0	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	425
I	142836	142858	23	+	3	13	0.46	23	2.15	0.47	0.04	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	469
I	142926	142936	11	+	3	11	0.45	11	0.36	0.46	0.03	Exon (YAL003W_mRNA/YAL003W, exon 2 of 2)	1	142367	142468	102	1	snR18	snR18_snoRNA	559
I	143572	143572	1	+	1	4	1	1	0	2	1	Promoter	1	143707	147531	3825	1	YAL002W	YAL002W_mRNA	-135
I	143616	143616	1	+	1	5	1	1	0	2	1	Promoter	1	143707	147531	3825	1	YAL002W	YAL002W_mRNA	-91
I	152215	152228	14	+	2	37	0.73	14	-2.99	1.16	0.16	Promoter	1	152257	153876	1620	1	YAR002W	YAR002W_mRNA	-29
I	154958	154958	1	+	1	3	1	1	0	2	1	Promoter	1	155005	156285	1281	1	YAR003W	YAR003W_mRNA	-47
