seqnames	start	end	width	strand	nTSSs	nTAGs	tsrPeak	tsrWdth	tsrTrq	tsrSI	tsrMSI	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	11329	11329	1	+	1	3	1	1	0	2	1	Promoter	1	12046	12426	381	1	YAL064W-B	YAL064W-B_mRNA	-717
I	24838	24850	13	+	2	14	0.71	13	-2.57	1.14	0.14	Distal Intergenic	1	21566	21850	285	1	YAL064W	YAL064W_mRNA	3272
I	31108	31119	12	+	3	28	0.46	12	2.18	0.47	0.03	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-448
I	31188	31188	1	+	1	12	1	1	0	2	1	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-379
I	31225	31258	34	+	5	60	0.33	34	-5.55	-0.05	0.12	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-309
I	33345	33359	15	+	2	27	0.89	15	5.44	1.5	0.5	Promoter	1	33448	34701	1254	1	YAL061W	YAL061W_mRNA	-89
I	34154	34154	1	+	1	3	1	1	0	2	1	Exon (YAL061W_mRNA/YAL061W, exon 1 of 1)	1	33448	34701	1254	1	YAL061W	YAL061W_mRNA	706
I	35057	35068	12	+	2	8	0.62	12	-1.38	1.05	0.05	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-87
I	35103	35114	12	+	3	22	0.36	12	-0.23	0.42	0	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-41
I	36511	36525	15	+	3	38	0.68	15	2.95	0.79	0.24	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	2
I	36556	36567	12	+	3	13	0.54	12	2.27	0.54	0.08	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	47
I	37415	37415	1	+	1	4	1	1	0	2	1	Promoter	1	37464	38972	1509	1	YAL058W	YAL058W_mRNA	-49
I	39195	39217	23	+	3	11	0.45	23	4.09	0.46	0.03	Promoter	1	39259	41901	2643	1	YAL056W	YAL056W_mRNA	-42
I	42137	42203	67	+	14	116	0.22	67	-3.02	-1.46	0.09	Promoter	1	42177	42719	543	1	YAL055W	YAL055W_mRNA	0
I	45744	45744	1	+	1	3	1	1	0	2	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-155
I	45769	45769	1	+	1	4	1	1	0	2	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-130
I	45810	45823	14	+	3	10	0.4	14	-1.7	0.43	0.01	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-76
I	45877	45877	1	+	1	4	1	1	0	2	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-22
