seqnames	start	end	width	strand	score	nTSSs	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
I	24831	24846	16	+	18	3	Distal Intergenic	1	21566	21850	285	1	YAL064W	YAL064W_mRNA	3265
I	25000	25000	1	+	3	1	Distal Intergenic	1	21566	21850	285	1	YAL064W	YAL064W_mRNA	3434
I	31108	31125	18	+	19	3	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-442
I	31188	31188	1	+	10	1	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-379
I	31225	31260	36	+	76	5	Promoter	1	31567	32940	1374	1	YAL062W	YAL062W_mRNA	-307
I	33345	33359	15	+	32	2	Promoter	1	33448	34701	1254	1	YAL061W	YAL061W_mRNA	-89
I	33850	33850	1	+	3	1	Exon (YAL061W_mRNA/YAL061W, exon 1 of 1)	1	33448	34701	1254	1	YAL061W	YAL061W_mRNA	402
I	34050	34050	1	+	3	1	Exon (YAL061W_mRNA/YAL061W, exon 1 of 1)	1	33448	34701	1254	1	YAL061W	YAL061W_mRNA	602
I	35057	35068	12	+	12	2	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-87
I	35103	35116	14	+	23	4	Promoter	1	35155	36303	1149	1	YAL060W	YAL060W_mRNA	-39
I	36511	36525	15	+	25	3	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	2
I	36556	36567	12	+	18	4	Promoter	1	36509	37147	639	1	YAL059W	YAL059W_mRNA	47
I	37415	37415	1	+	4	1	Promoter	1	37464	38972	1509	1	YAL058W	YAL058W_mRNA	-49
I	39215	39215	1	+	3	1	Promoter	1	39259	41901	2643	1	YAL056W	YAL056W_mRNA	-44
I	42134	42221	88	+	155	20	Promoter	1	42177	42719	543	1	YAL055W	YAL055W_mRNA	0
I	45744	45769	26	+	8	2	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-130
I	45810	45810	1	+	3	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-89
I	45874	45874	1	+	3	1	Promoter	1	45899	48250	2352	1	YAL053W	YAL053W_mRNA	-25
I	48550	48566	17	+	26	4	Promoter	1	48564	51707	3144	1	YAL051W	YAL051W_mRNA	0
I	57506	57520	15	+	13	3	Promoter	1	57518	57850	333	1	YAL044W-A	YAL044W-A_mRNA	0
I	61274	61313	40	+	61	7	Promoter	1	61316	62563	1248	1	YAL042W	YAL042W_mRNA	-3
I	61694	61694	1	+	3	1	Exon (YAL042W_mRNA/YAL042W, exon 1 of 1)	1	61316	62563	1248	1	YAL042W	YAL042W_mRNA	378
I	62126	62126	1	+	3	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-714
I	62173	62173	1	+	5	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-667
I	62331	62334	4	+	7	2	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-506
I	62372	62372	1	+	3	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-468
I	62776	62776	1	+	3	1	Promoter	1	62840	65404	2565	1	YAL041W	YAL041W_mRNA	-64
I	71670	71806	137	+	423	15	Promoter	1	71786	73288	1503	1	YAL038W	YAL038W_mRNA	0
